Drug,Cell,IC50
368390,CCRF_CEM,0.917037690143594
287459,COLO205,0.693280788703733
94600,NCI_H322M,-0.895368199888232
709237,IGROV1,-0.820813158743657
681642,TK_10,-1.8611905882785
3053,NCI_H522,1.03183290148211
126771,NCI_H226,-0.517554759649678
295501,UACC_257,-0.24320369309752
755384,M14,1.29082735513004
758255,EKVX,-1.80948774082484
83142,A498,-1.25242730340175
279836,HCT_116,0.209493819311201
673596,RXF_393,0.160871837268595
143095,IGROV1,0.712256832728938
308847,786_0,1.04500458064053
757804,M14,-0.0292857684922076
603077,SK_MEL_5,-0.0582559767664427
73754,NCI_ADR_RES,-0.608428475358151
126771,CCRF_CEM,1.07381856403073
8806,SF_295,0.442899509088183
702294,HL_60,0.0607481493767505
673596,MDA_MB_435,0.121447639643039
141549,786_0,0.334568045314104
141540,A498,-0.0103831360465544
789797,LOXIMVI,-0.638255804556275
365798,NCI_H226,-0.517806025757022
349174,NCI_H322M,-0.653238520085295
757036,NCI_H522,-0.211172851834975
369395,MDA_MB_231,-1.95956876424639
154948,PC_3,-0.963090728173783
772992,HCT_116,-0.827391543455443
740645,SF_268,0.730716866348623
6396,M14,0.0435033507208473
266046,NCI_H322M,-1.41944992595607
369395,UO_31,0.641223752104211
606173,SK_OV_3,0.309812222002491
409962,MDA_MB_435,0.122081885246814
63878,SK_MEL_28,-0.482277110867898
759878,UACC_257,-1.03524171807968
71261,COLO205,-0.225590401820864
639186,HOP_92,-0.803936956340797
767125,SF_295,1.87187645052552
754230,UO_31,0.40363781161264
364830,K_562,-0.0390137240560519
683556,HT29,-0.461113525507739
755841,SN12C,0.331203960070466
267469,SF_539,0.38500842356589
145668,NCI_H522,0.0383209242043699
143095,SK_MEL_5,-1.00906199690374
100880,SK_OV_3,0.0731689053438453
302991,A498,-1.10063162545102
702294,NCI_H226,0.111198875663758
629971,HCC_2998,-0.786723919854568
681643,SF_539,1.14598405262363
694501,OVCAR_5,-1.38541968604929
302991,SF_295,1.20608331046552
