,Drug,Cell
136,368390,CCRF_CEM
103,287459,COLO205
36,94600,NCI_H322M
206,709237,IGROV1
189,681642,TK_10
6,3053,NCI_H522
56,126771,NCI_H226
106,295501,UACC_257
232,755384,M14
245,758255,EKVX
33,83142,A498
101,279836,HCT_116
178,673596,RXF_393
69,143095,IGROV1
111,308847,786_0
242,757804,M14
146,603077,SK_MEL_5
29,73754,NCI_ADR_RES
56,126771,CCRF_CEM
9,8806,SF_295
203,702294,HL_60
178,673596,MDA_MB_435
67,141549,786_0
66,141540,A498
267,789797,LOXIMVI
134,365798,NCI_H226
123,349174,NCI_H322M
238,757036,NCI_H522
138,369395,MDA_MB_231
73,154948,PC_3
264,772992,HCT_116
224,740645,SF_268
8,6396,M14
95,266046,NCI_H322M
138,369395,UO_31
149,606173,SK_OV_3
141,409962,MDA_MB_435
24,63878,SK_MEL_28
256,759878,UACC_257
26,71261,COLO205
175,639186,HOP_92
261,767125,SF_295
228,754230,UO_31
133,364830,K_562
196,683556,HT29
233,755841,SN12C
96,267469,SF_539
70,145668,NCI_H522
69,143095,SK_MEL_5
41,100880,SK_OV_3
109,302991,A498
203,702294,NCI_H226
168,629971,HCC_2998
190,681643,SF_539
199,694501,OVCAR_5
109,302991,SF_295
103,287459,SF_539
111,308847,MDA_MB_231
49,111533,SF_268
149,606173,786_0
150,606497,ACHN
58,132313,OVCAR_4
195,683555,UACC_62
49,111533,EKVX
106,295501,UACC_62
82,178248,SK_MEL_2
145,603076,OVCAR_8
132,363812,786_0
25,63984,MDA_MB_435
224,740645,CAKI_1
98,269148,HOP_92
228,754230,ACHN
61,134679,OVCAR_4
213,728073,NCI_H460
199,694501,NCI_ADR_RES
267,789797,M14
146,603077,UO_31
139,374028,A498
31,79037,UACC_257
12,19893,NCI_ADR_RES
119,338947,786_0
29,73754,SF_268
210,721517,OVCAR_8
138,369395,SNB_19
17,27640,HOP_62
125,352122,MDA_MB_435
216,736198,A498
259,765396,SK_MEL_2
95,266046,SK_OV_3
24,63878,HS578T
73,154948,LOXIMVI
250,758706,NCI_H460
122,348948,HT29
25,63984,BT_549
53,123127,K_562
66,141540,SF_268
49,111533,CCRF_CEM
160,610459,SF_539
125,352122,LOXIMVI
253,759263,HS578T
211,724998,786_0
251,759155,ACHN
